电影,1.0
故事,0.7500716010110988
小说,0.7048585632632944
虚像,0.660611540211877
不错,0.6454044147525196
没有,0.6198446000648998
书籍,0.542584920558705
看过,0.5295622871154749
台湾,0.5073820101071062
推理,0.5028978782826071
喜欢,0.4736799972459767
现实,0.4487282560964138
应该,0.40009622006211937
韩国,0.39681421428670627
字数,0.3851370379250811
结局,0.38205767723900436
日记,0.3803975474184625
憎恨,0.37876389078833134
质量,0.36050638769774684
副教授,0.3595868908753769
0.338144
0.544676
0.829301
0.259695
0.802937
0.991398
0.89817
0.911479
0.509469
0.621521
0.638197
0.0367578
0.424155
0.147864
0.697156
0.41739
0.693737
0.757821
0.974633
0.0367578
0.496717
0.480302
0.520564
0.385107
0.291876
0.559012
0.559012
0.520564
0.385107
0.0127931
0.978827
0.978827
0.558944
0.831064
0.558944
0.831064
0.911469
0.675485
0.82821
0.911469
0.675485
0.82821
0.941571
0.489699
0.947595
0.964327
0.746971
0.666793
0.667776
0.708738
0.483481
0.304418
0.931698
0.584316
0.983951
0.534819
0.773806
0.967782
0.814196
0.761539
0.104734
0.992328
0.347081
0.956943
0.93412
0.292379
0.963432
0.628926
0.628926
0.691615
0.292379
0.224461
0.0968313
0.495042
0.554134
0.672081
0.487119
0.908883
0.554134
0.487119
0.939478
0.831904
0.831904
0.436015
0.357855
0.070213
0.117345
0.558012
0.908109
0.379189
0.117345
0.513006
0.436015
0.541166
0.473862
0.368215
0.0417614
0.228816
0.473862
0.492234
0.578755
0.194646
0.0522618
0.632551
0.388377
0.866377
0.653677
0.896651
0.388377
0.3192
0.632551
0.866377
0.736679
0.653677
0.302917
0.155872
0.302917
0.653677
0.155872
0.422127
0.422127
0.255608
0.255608
